"name","manufacturer","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","cups","rating"
"Wheaties","General Mills",100,3,1,200,3,17,3,110,25,1,51.592193
"Total Whole Grain","General Mills",100,3,1,200,3,16,3,110,100,1,46.658844
"Wheaties Honey Gold","General Mills",110,2,1,200,1,16,8,60,25,0.75,36.187559
"Kix","General Mills",110,2,1,260,0,21,3,40,25,1.5,39.241114
"ACCheerios","General Mills",110,2,2,180,1.5,10.5,10,70,25,1.25,45.95263
"Total Raisin Bran","General Mills",140,3,1,190,4,15,14,230,100,1,28.592785
"Count Chocula","General Mills",110,1,1,180,0,12,13,65,25,1,22.396513
"Clusters","General Mills",110,3,2,140,2,13,7,105,25,0.5,40.400208
"Cheerios","General Mills",110,6,2,290,2,17,1,105,25,1.25,50.764999
"Raisin Nut Bran","General Mills",100,3,2,140,2.5,10.5,8,140,25,0.5,39.7034
"Lucky Charms","General Mills",110,2,1,180,0,12,12,55,25,1,26.734515
"Apple Cinnamon Cheerios","General Mills",110,2,2,180,1.5,10.5,10,70,25,0.75,29.509541
"Honey Nut Cheerios","General Mills",110,3,1,250,1.5,11.5,10,90,25,0.75,31.072217
"Trix","General Mills",110,1,1,140,0,13,12,25,25,1,27.753301
"Oatmeal Raisin Crisp","General Mills",130,3,2,170,1.5,13.5,10,120,25,0.5,30.450843
"Total Corn Flakes","General Mills",110,2,1,200,0,21,3,35,100,1,38.839746
"Cheaties","General Mills",100,3,1,200,3,17,3,110,0,1,51.23652
"Crispy Wheat & Raisins","General Mills",100,2,1,140,2,11,10,120,25,0.75,36.176196
"Fruitful Bran","Kelloggs",120,3,0,240,5,14,12,190,25,0.67,41.015492
"Rice Krispies","Kelloggs",110,2,0,290,0,22,3,35,25,1,40.560159
"Nut&Honey Crunch","Kelloggs",120,2,1,190,0,15,9,40,25,0.67,29.924285
"Just Right Crunchy  Nuggets","Kelloggs",110,2,1,170,1,17,6,60,100,1,36.523683
"Froot Loops","Kelloggs",110,2,1,125,1,11,13,30,25,1,32.207582
"All-Bran","Kelloggs",70,4,1,260,9,7,5,320,25,0.33,59.425505
"Nutri-Grain Almond-Raisin","Kelloggs",140,3,2,220,3,21,7,130,25,0.67,40.69232
"Smacks","Kelloggs",110,2,1,70,1,9,15,40,25,0.75,31.230054
"Raisin Squares","Kelloggs",90,2,0,0,2,15,6,110,25,0.5,55.333142
"Apple Jacks","Kelloggs",110,2,0,125,1,11,14,30,25,1,33.174094
"Frosted Mini-Wheats","Kelloggs",100,3,0,0,3,14,7,100,25,0.8,58.345141
"All-Bran with Extra Fiber","Kelloggs",50,4,0,140,14,8,0,330,25,0.5,93.704912
"Frosted Flakes","Kelloggs",110,1,0,200,1,14,11,25,25,0.75,31.435973
"Mueslix Crispy Blend","Kelloggs",160,3,2,150,3,17,13,160,25,0.67,30.313351
"Raisin Bran","Kelloggs",120,3,1,210,5,14,12,240,25,0.75,39.259197
"Corn Flakes","Kelloggs",100,2,0,290,1,21,2,35,25,1,45.863324
"Nutri-grain Wheat","Kelloggs",90,3,0,170,3,18,2,90,25,1,59.642837
"Cracklin' Oat Bran","Kelloggs",110,3,3,140,4,10,7,160,25,0.5,40.448772
"Bran Flakes","Post",90,3,0,210,5,13,5,190,25,0.67,53.313813
"Fruit & Fibre Dates; Walnuts; and Oats","Post",120,3,2,160,5,12,10,200,50,0.67,40.917047
"Fruity Pebbles","Post",110,1,1,135,0,13,12,25,50,0.75,28.025765
"Golden Crisp","Post",100,2,0,45,0,11,15,40,25,0.88,35.252444
"Grape Nuts Flakes","Post",100,3,1,140,3,15,5,85,100,0.88,52.076897
"Grape-Nuts","Post",110,3,0,170,3,17,3,90,100,0.25,53.371007
"Great Grains Pecan","Post",120,3,3,75,3,13,4,100,25,0.33,45.811716
"Honey-comb","Post",110,1,0,180,0,14,11,35,25,1.33,28.742414
"Post Nat. Raisin Bran","Post",120,3,1,200,6,11,14,260,25,0.67,37.840594
